"number","opened_at","short_description","description","subcategory","close_notes","resolved_by","resolved_at","severity","assigned_to","category","comments","parent_incident","priority"
"INC0016866","2025-11-03 06:34:28","Issue 865: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016865","2025-11-03 06:34:28","Issue 864: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016864","2025-11-03 06:34:28","Issue 863: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016863","2025-11-03 06:34:28","Issue 862: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016862","2025-11-03 06:34:28","Issue 861: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016861","2025-11-03 06:34:28","Issue 860: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016860","2025-11-03 06:34:27","Issue 859: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016859","2025-11-03 06:34:27","Issue 858: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016858","2025-11-03 06:34:27","Issue 857: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016857","2025-11-03 06:34:27","Issue 856: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016856","2025-11-03 06:34:27","Issue 855: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016855","2025-11-03 06:34:27","Issue 854: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016854","2025-11-03 06:34:26","Issue 853: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016853","2025-11-03 06:34:26","Issue 852: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016852","2025-11-03 06:34:26","Issue 851: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016851","2025-11-03 06:34:26","Issue 850: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016850","2025-11-03 06:34:26","Issue 849: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016849","2025-11-03 06:34:26","Issue 848: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016848","2025-11-03 06:34:25","Issue 847: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016847","2025-11-03 06:34:25","Issue 846: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016846","2025-11-03 06:34:25","Issue 845: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016845","2025-11-03 06:34:25","Issue 844: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016844","2025-11-03 06:34:25","Issue 843: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016843","2025-11-03 06:34:25","Issue 842: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016842","2025-11-03 06:34:24","Issue 841: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016841","2025-11-03 06:34:24","Issue 840: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016840","2025-11-03 06:34:24","Issue 839: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016839","2025-11-03 06:34:24","Issue 838: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016838","2025-11-03 06:34:24","Issue 837: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016837","2025-11-03 06:34:24","Issue 836: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016836","2025-11-03 06:34:23","Issue 835: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016835","2025-11-03 06:34:23","Issue 834: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016834","2025-11-03 06:34:23","Issue 833: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016833","2025-11-03 06:34:23","Issue 832: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016832","2025-11-03 06:34:23","Issue 831: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016831","2025-11-03 06:34:23","Issue 830: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016830","2025-11-03 06:34:22","Issue 829: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016829","2025-11-03 06:34:22","Issue 828: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016828","2025-11-03 06:34:22","Issue 827: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016827","2025-11-03 06:34:22","Issue 826: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016826","2025-11-03 06:34:22","Issue 825: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016825","2025-11-03 06:34:22","Issue 824: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016824","2025-11-03 06:34:21","Issue 823: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016823","2025-11-03 06:34:21","Issue 822: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016822","2025-11-03 06:34:21","Issue 821: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016821","2025-11-03 06:34:21","Issue 820: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016820","2025-11-03 06:34:21","Issue 819: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016819","2025-11-03 06:34:21","Issue 818: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016818","2025-11-03 06:34:20","Issue 817: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016817","2025-11-03 06:34:20","Issue 816: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016816","2025-11-03 06:34:20","Issue 815: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016815","2025-11-03 06:34:20","Issue 814: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016814","2025-11-03 06:34:20","Issue 813: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016813","2025-11-03 06:34:20","Issue 812: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016812","2025-11-03 06:34:19","Issue 811: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016811","2025-11-03 06:34:19","Issue 810: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016810","2025-11-03 06:34:19","Issue 809: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016809","2025-11-03 06:34:19","Issue 808: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016808","2025-11-03 06:34:19","Issue 807: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016807","2025-11-03 06:34:19","Issue 806: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016806","2025-11-03 06:34:18","Issue 805: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016805","2025-11-03 06:34:18","Issue 804: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016804","2025-11-03 06:34:18","Issue 803: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016803","2025-11-03 06:34:18","Issue 802: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016802","2025-11-03 06:34:18","Issue 801: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016801","2025-11-03 06:34:18","Issue 800: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016800","2025-11-03 06:34:17","Issue 799: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016799","2025-11-03 06:34:17","Issue 798: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016798","2025-11-03 06:34:17","Issue 797: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016797","2025-11-03 06:34:17","Issue 796: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016796","2025-11-03 06:34:17","Issue 795: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016795","2025-11-03 06:34:17","Issue 794: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016794","2025-11-03 06:34:16","Issue 793: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016793","2025-11-03 06:34:16","Issue 792: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016792","2025-11-03 06:34:16","Issue 791: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016791","2025-11-03 06:34:16","Issue 790: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016790","2025-11-03 06:34:16","Issue 789: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016789","2025-11-03 06:34:16","Issue 788: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016788","2025-11-03 06:34:15","Issue 787: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016787","2025-11-03 06:34:15","Issue 786: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016786","2025-11-03 06:34:15","Issue 785: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016785","2025-11-03 06:34:15","Issue 784: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016784","2025-11-03 06:34:15","Issue 783: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016783","2025-11-03 06:34:15","Issue 782: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016782","2025-11-03 06:34:14","Issue 781: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016781","2025-11-03 06:34:14","Issue 780: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016780","2025-11-03 06:34:14","Issue 779: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016779","2025-11-03 06:34:14","Issue 778: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016778","2025-11-03 06:34:14","Issue 777: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016777","2025-11-03 06:34:14","Issue 776: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016776","2025-11-03 06:34:13","Issue 775: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016775","2025-11-03 06:34:13","Issue 774: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016774","2025-11-03 06:34:13","Issue 773: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016773","2025-11-03 06:34:13","Issue 772: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016772","2025-11-03 06:34:13","Issue 771: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016771","2025-11-03 06:34:13","Issue 770: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016770","2025-11-03 06:34:12","Issue 769: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016769","2025-11-03 06:34:12","Issue 768: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016768","2025-11-03 06:34:12","Issue 767: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016767","2025-11-03 06:34:12","Issue 766: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016766","2025-11-03 06:34:12","Issue 765: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016765","2025-11-03 06:34:12","Issue 764: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016764","2025-11-03 06:34:11","Issue 763: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016763","2025-11-03 06:34:11","Issue 762: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016762","2025-11-03 06:34:11","Issue 761: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016761","2025-11-03 06:34:11","Issue 760: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016760","2025-11-03 06:34:11","Issue 759: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016759","2025-11-03 06:34:10","Issue 758: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016758","2025-11-03 06:34:10","Issue 757: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016757","2025-11-03 06:34:10","Issue 756: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016756","2025-11-03 06:34:10","Issue 755: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016755","2025-11-03 06:34:10","Issue 754: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016754","2025-11-03 06:34:10","Issue 753: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016753","2025-11-03 06:34:09","Issue 752: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016752","2025-11-03 06:34:09","Issue 751: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016751","2025-11-03 06:34:09","Issue 750: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016750","2025-11-03 06:34:09","Issue 749: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016749","2025-11-03 06:34:09","Issue 748: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016748","2025-11-03 06:34:09","Issue 747: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016747","2025-11-03 06:34:08","Issue 746: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016746","2025-11-03 06:34:08","Issue 745: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016745","2025-11-03 06:34:08","Issue 744: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016744","2025-11-03 06:34:08","Issue 743: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016743","2025-11-03 06:34:08","Issue 742: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016742","2025-11-03 06:34:08","Issue 741: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016741","2025-11-03 06:34:07","Issue 740: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016740","2025-11-03 06:34:07","Issue 739: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016739","2025-11-03 06:34:07","Issue 738: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016738","2025-11-03 06:34:07","Issue 737: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016737","2025-11-03 06:34:07","Issue 736: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016736","2025-11-03 06:34:07","Issue 735: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016735","2025-11-03 06:34:06","Issue 734: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016734","2025-11-03 06:34:06","Issue 733: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016733","2025-11-03 06:34:06","Issue 732: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
